,category,sub_category,crimeaditionalinfo
376,Online and Social Media Related Crime,EMail Phishing,"Ek fraud call aayi thi, unhone bola ki main lottery jeeta hoon. Unhone mere bank details maange, par maine nahi diye. Kya aap iski jaanch kar sakte hain?"
18,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"On Instagram, a user named Suman Patel is sharing stories that encourage people to disrespect our national flag. This is unacceptable and should be addressed immediately."
204,Online and Social Media Related Crime,Intimidating Email,I received a threatening email from someone claiming to be a lawyer. They are accusing me of something I didn't do and demanding money to drop the case. The email ID is fake.lawyer123@gmail.com. Please help!
574,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,My online banking app is showing unauthorized transactions. I believe my account has been hacked. Please help me secure it.
538,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Sir, mujhe ek aadmi ne blackmail kiya hai. Usne meri private photos ko leak karne ki dhamki di hai. Uska number hai 9988776655. Kripya meri madad karein."
212,Online and Social Media Related Crime,Intimidating Email,Someone is sending me emails saying they will expose my secrets if I don't pay them. I have no idea who they are. The email ID is blackmail123@gmail.com. I need urgent assistance!
621,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera Facebook account hack ho gaya hai. Kisi ne mujhe ek link bheja tha aur maine us par click kiya. Ab mera account control mein nahi hai.
1236,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Sir, mujhe ek email aayi thi jismein bola gaya tha ki mujhe investment karna hai. Maine unhe paise bheje, lekin ab unka contact band ho gaya hai. Yeh log bahut logon ko dhoka de rahe hain. Please madad karein."
1254,Online Financial Fraud,Business Email CompromiseEmail Takeover,"I received a message from a so-called investment company promising high returns. They asked me to transfer money to a bank account. After I sent the money, they became unreachable. I want to report this fraud."
1242,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Sir, mujhe ek WhatsApp par message aaya tha ki mujhe ek online course ke liye register karna hai. Maine paise diye, par ab mujhe pata chala ki yeh sab fake hai. Please meri madad karein."
1085,Online and Social Media Related Crime,Provocative Speech for unlawful acts,I received a threatening message on Facebook from someone I don't know. They are saying they will harm my family if I don't pay them.
1308,Online Gambling  Betting,Online Gambling  Betting,"Ek baar mujhe message aaya tha ki maine lottery jeeti hai, lekin mujhe paise deposit karne padenge. Maine paise bheje, ab mujhe kuch nahi mila. Please help!"
1460,Child Pornography CPChild Sexual Abuse Material CSAM,,Mujhe ek unknown number se message aaya hai jo meri private photos ki demand kar raha hai. Agar nahi diya toh woh online share karne ki dhamki de raha hai. Please madad karein.
440,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
1201,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Dear Sir, mujhe ek company se email aayi thi jo mujhe business partnership ka offer de rahi thi. Maine unhe documents bheje aur paise transfer kiye, par ab unka koi pata nahi. Yeh fraud hai, please investigate karein."
333,Online and Social Media Related Crime,EMail Phishing,"I received a message on Facebook saying I need to verify my account, but it looks suspicious. I didn’t click any links, but I’m concerned."
379,Online and Social Media Related Crime,EMail Phishing,"Ek unknown number se mujhe call aayi thi, unhone bola ki wo tech support se hain. Unhone mere email aur password maange, mujhe laga yeh fraud hai."
1395,Online Gambling  Betting,Online Gambling  Betting,Mujhe ek link mila online betting site ka aur maine ₹1500 kho diye. Unhone easy money ka vaada kiya par ye scam nikla. Kripya jaanch karein!
528,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Sir, mujhe ek aadmi ne blackmail kiya hai. Usne meri private photos ko leak karne ki dhamki di hai. Uska number hai 9988776655. Kripya meri madad karein."
885,Online Cyber Trafficking,Online Trafficking,I received a call from a number asking for my personal information to process a loan. They are now threatening to share my details if I don’t comply. Please help!
1434,Child Pornography CPChild Sexual Abuse Material CSAM,,Mujhe ek unknown ID se kuch vulgar messages mil rahe hain jo mere friends ko bhi tag kar rahe hain. Wo mujhe bad pictures bhejne ke liye keh rahe hain. Please iski jaanch karein.
1020,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Ek unknown number se mujhe baar baar call aa raha hai aur voh mujhe gandi galiyaan de raha hai. Main samajh nahi paa raha ki yeh kaun hai. Kripya meri madad karein.
14,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"On TikTok, a user named Kavita Singh is making videos that mock our national symbols and promote separatism. This is disrespectful and harmful. I request you to take action against her account."
654,Hacking  Damage to computercomputer system etc,Website DefacementHacking,My website was defaced by someone. They changed the homepage and added inappropriate content. I need urgent help to restore it.
104,Ransomware,Ransomware,"Mera phone ransomware se attack hua hai aur sabhi photos aur videos encrypt ho gaye hain. Mujhe unhe wapas chahiye, lekin hackers ne mujhe payment karne ke liye bola hai. Kya aap kuch kar sakte hain?"
781,Online and Social Media Related Crime,Online Matrimonial Fraud,"Sir, main ek matrimony app par ladki se baat kar raha tha. Usne bola ki uska passport khatam ho gaya hai aur usse paise chahiye. Maine 20,000 bheje, ab mujhe lagta hai ki ye fraud hai. Kripya kuch karein."
1199,Hacking  Damage to computercomputer system etc,Email Hacking,Mujhe lagta hai ki kisi ne mera email ID hack kar liya hai. Main apne contacts ko spam emails bhej raha hoon. Kripya mujhe isse recover karne mein madad karein.
1275,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Mujhe ek email aayi thi jismein bola gaya tha ki mujhe business partnership offer ki ja rahi hai. Unhone pehle investment ki maang ki aur fir paise lene ke baad contact band kar diya. Yeh fraud hai, mujhe report karna hai."
720,Online and Social Media Related Crime,Online Matrimonial Fraud,"I received a message from a girl on a matrimonial site who seemed very nice. After a few days, she asked for money to pay for her education. I sent her Rs 10,000, but now I feel cheated. Please take action against her."
11,Report Unlawful Content,Against Interest of sovereignty or integrity of India,A Twitter user named Riya Sharma is spreading false propaganda against our armed forces. She is trying to create a negative image of our country. This is harmful and should be addressed immediately.
66,Report Unlawful Content,Against Interest of sovereignty or integrity of India,Instagram par ek post hai jisme Priya Singh hamare desh aur leaders ke khilaf ghalat fehmi phela rahi hai. Iska pata lagana zaroori hai.
1005,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek video call aayi jisme ek ladki ne mujhe nude dikhaya aur ab voh mujhe blackmail kar rahi hai. Main bahut tension mein hoon. Kya karun?
879,Online Cyber Trafficking,Online Trafficking,"Mujhe ek SMS aaya tha jisme bola gaya ki mujhe apne account ko verify karna hai. Maine link nahi khola, par ab wo mujhe dhamki de rahe hain. Kya karna chahiye?"
460,Online and Social Media Related Crime,Impersonating Email,"I got an email from someone impersonating my company's finance head. They asked me to send money for an urgent payment. I didn’t comply, but I want to report this incident."
811,Online Cyber Trafficking,Online Trafficking,"Ek unknown number se mujhe call aaya, wo mujhe blackmail kar raha hai ki agar maine paise nahi diye toh meri private photos sabko bhej dega."
1398,Online Gambling  Betting,Online Gambling  Betting,Mujhe ek call aayi thi jisme bola gaya ki maine lottery jeeti hai. Unhone mere bank details maange. Mujhe lagta hai ye scam hai. Kripya madad karein!
107,Ransomware,Ransomware,"Mere computer par ransomware ne attack kiya hai aur sabhi files ab inaccessible hain. Mujhe bahut zaroori documents chahiye, lekin main unhe recover nahi kar pa raha hoon. Kya aap meri madad kar sakte hain?"
1436,Child Pornography CPChild Sexual Abuse Material CSAM,,Mujhe ek website mili jisme underage girls ki explicit images hain. Yeh bahut disturbing hai aur main chahti hoon ki aap is par action lein.
952,Cyber Terrorism,Cyber Terrorism,"I was contacted by a person who claimed to be a travel agent. After I paid for a trip, they demanded more money and now they are threatening me. I need assistance to get my money back and stop their harassment."
617,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mujhe ek suspicious link mila tha aur maine us par click kiya. Ab mera Instagram account hack ho gaya hai. Kripya madad karein.
12,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"There is a Facebook group called ""Separatists Unite"" where members are discussing ways to divide our country. The content shared there is very dangerous. I urge you to take action against this group."
914,Cyber Terrorism,Cyber Terrorism,"Mujhe ek app se loan mila tha, ab wo log mujhe har din pareshan kar rahe hain. Unhone mere dost logon ko bhi call kiya hai aur unhe dhamki di hai. Kya aap meri madad kar sakte hain?"
905,Cyber Terrorism,Cyber Terrorism,"Kuch din pehle mujhe ek message aaya tha ki mera bank account hack ho gaya hai. Ab wo log mujhe paise bhejne ke liye keh rahe hain, warna mere contacts ko bata denge. Main bahut pareshan hoon!"
207,Online and Social Media Related Crime,Intimidating Email,Someone is sending me emails with threats about my job and personal life. They are using my name and making false claims. The email ID is threatener123@gmail.com. I need urgent help!
1333,Online Gambling  Betting,Online Gambling  Betting,"Mujhe ek link mila tha WhatsApp par, jisme bola gaya tha ki main paise invest karun. Maine kiya aur ab mujhe kuch nahi mila. Kya aap meri madad kar sakte hain?"
